Page No,Chunk No,Text Content,Year,Department,Type of Document,Title
1,1,National Rural Livelihood Mission (NRLM) National Rural Livelihood Mission Manual for District Manual for District - Level Functionaries 2017,2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
2,1,"PREFACE The purpose of this Development Role Manual for National Rural Livelihood Mission (NRLM) is to create an enabling mechanism for improved implementation of the Centrally Sponsored Scheme (CSS) at the cutting edge, leading to enhanced outcomes in nature and extent.Accordingly, it would act as a guide for implementation by the District Collector and key District-level functionaries, enable quick learning, implementation modalities, roles and responsibilities of the various functionaries as well as stakeholders etc.",2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
2,2,"This Manual is prepared with inputs from a combination of sources, including interaction with the Ministry of Rural Development (MRD), Government of India (GoI), review of extant scheme guidelines and circulars issued by MRD from time to time and recently updated till August, 2017 and discussions with the key personnel involved in implementation of the Scheme.For greater direction, the guidelines cited must be referred to along with the NRLM website www.nrlm.gov.in for guidance and clarification on implementation from time to time.",2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
3,1,Contents Table of Contents 1.National Rural Livelihood Mission (NRLM)................................................... 1 1.1 About the Scheme ................................................................... 1 1.2 Objective of the Scheme ........................................................... 1 1.3 Key Features of the Scheme ....................................................... 1 1.4 Services and Beneficiaries.......................................................... 2 2.,2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
3,2,Administrative / Organisational Set up ...................................................... 3 2.1 National Level Functionaries....................................................... 3 2.2 State Level Functionaries........................................................... 4 2.3 District Level Functionaries ........................................................ 4 2.4 Block Level Functionaries .......................................................... 5 2.5 Institutional Structure .............................................................. 5 3.Coordination Mechanism ....................................................................... 5 4.Funding Mechanism.............................................................................. 6 5.,2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
3,3,Convergence ...................................................................................... 6 6.Roles and Responsibilities ...................................................................... 7 6.1 Roles and responsibilities of District Level functionaries ...................... 7 6.2 Roles and responsibilities of Block Level functionaries .......................10 6.3 Roles and responsibilities of Village level functionaries ......................11 6.4 Role of Panchayat Raj Institutions (PRIs) .......................................12 7.,2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
3,4,Monitoring ........................................................................................12 Abbreviations .......................................................................................13 Endnotes and References.........................................................................14,2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
4,1,"List of Figures Figure 1 Organisational set up at National level Figure 2 Organisational set up at District level Figure 3 SHG Federations Figure 4 Involvement of PRIs vis-à-vis SHGs List of Tables Table 1 Convergence issues and actions Table 2 Role of District Collector/District Magistrate Table 3 Role of District Rural Development Officer (DRDO)/Project Director, District Table 4 Role of Block Development Officer/Chief Executive Officer/Assistant Project Manager at the Block level Table 5 Role of Village level functionaries (Cluster Coordinator/ Community Organizer) and NGOs Rural Development Agency (DRDA)",2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
5,1,District Manual – National Rural Livelihood Mission (NRLM) ,2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
5,2,"1.National Rural Livelihood Mission (NRLM) 1.1 About the Scheme In spite of rapid growth of Gross Domestic Product (GDP) in India, a large rural population of the country still lives below poverty line (BPL).Different studies estimated the rate of rural poverty at different levels.In spite of the numerous efforts, the rural poverty continues to be a major challenge to the Government at all levels.To address the challenge of rural poverty, the Ministry of Rural Development conceived a mission mode scheme titled as National Rural Livelihood Mission (NRLM) in the year 2010.NRLM was renamed as DAY-NRLM (Deendayal Antyodaya Yojana – National Rural Livelihood Mission) with effect from March 29, 2016.",2017,Rajivika,guidelines,NationalRuralLivilihoodMission.pdf
